date,open,high,low,close,volume
2021-07-17,,,,8068.78,3672931663.0
2021-07-19,,,,8068.78,3672931663.0
2021-07-20,,,,8045.31,3126936983.0
2021-07-21,,,,8047.48,3569765544.0
2021-07-22,,,,8135.57,3959151264.0
2021-07-23,,,,8024.56,4119754371.0
2021-07-26,,,,7865.4,4615551360.0
2021-07-27,,,,7635.48,4883764331.0
2021-07-28,,,,7550.59,4545964765.0
2021-07-29,,,,7635.17,3772545324.0
2021-07-30,,,,7732.39,3971771401.0
2021-08-02,,,,7753.56,5021102407.0
2021-08-03,,,,7660.79,4120623457.0
2021-08-04,,,,7779.01,3488078198.0
2021-08-05,,,,7731.56,3788322948.0
2021-08-06,,,,7772.42,3104504472.0
2021-08-09,,,,7880.91,4514131248.0
2021-08-10,,,,7898.75,3829325720.0
2021-08-11,,,,8022.24,5361532169.0
2021-08-12,,,,8126.52,3937269886.0
2021-08-13,,,,8136.91,3599988501.0
2021-08-16,,,,8139.8,4086499967.0
2021-08-17,,,,7985.72,4674247156.0
2021-08-18,,,,8037.77,4471791714.0
2021-08-19,,,,7991.96,4047803774.0
2021-08-20,,,,8003.37,4065579225.0
2021-08-23,,,,8096.01,3514388385.0
2021-08-24,,,,8163.59,3654878069.0
2021-08-25,,,,8264.63,3418239569.0
2021-08-26,,,,8297.13,4109080831.0
2021-08-27,,,,8354.18,4043236356.0
2021-08-30,,,,8403.4,5205090459.0
2021-08-31,,,,8585.86,5377171837.0
2021-09-01,,,,8546.08,7241002519.0
2021-09-02,,,,8684.92,5704203620.0
2021-09-03,,,,8659.11,5561231298.0
2021-09-06,,,,8740.06,5401169728.0
2021-09-07,,,,8915.16,5838740023.0
2021-09-08,,,,8990.2,5776480573.0
2021-09-09,,,,9160.59,6606827202.0
2021-09-10,,,,9036.68,7235219427.0
2021-09-13,,,,9202.04,5987573496.0
2021-09-14,,,,9040.13,6557460975.0
2021-09-15,,,,9066.22,4945978241.0
2021-09-16,,,,8929.5,5621869493.0
2021-09-17,,,,8764.41,4858942246.0
2021-09-22,,,,8889.04,5325226909.0
2021-09-23,,,,8900.81,5328252629.0
2021-09-24,,,,8619.29,4906508570.0
2021-09-27,,,,8375.21,5036048628.0
2021-09-28,,,,8507.74,5021629105.0
2021-09-29,,,,8238.17,5070369426.0
2021-09-30,,,,8372.42,4063412358.0
2021-10-08,,,,8370.98,4477715032.0
2021-10-11,,,,8420.11,4451833720.0
2021-10-12,,,,8280.3,4542460712.0
2021-10-13,,,,8222.03,3624180768.0
2021-10-14,,,,8189.75,2903102117.0
2021-10-15,,,,8214.71,3642621546.0
2021-10-18,,,,8337.36,3693672466.0
2021-10-19,,,,8396.28,3435837970.0
2021-10-20,,,,8313.76,3454945129.0
2021-10-21,,,,8374.11,4044750197.0
2021-10-22,,,,8225.04,4202665994.0
2021-10-25,,,,8233.75,3642153989.0
2021-10-26,,,,8196.84,3303802487.0
2021-10-27,,,,8072.94,3596847599.0
2021-10-28,,,,7889.89,3815463910.0
2021-10-29,,,,7929.28,3778205142.0
2021-11-01,,,,7970.13,4188661664.0
2021-11-02,,,,7807.74,4853877168.0
2021-11-03,,,,7910.17,3061416805.0
2021-11-04,,,,7912.29,2994243533.0
2021-11-05,,,,7797.16,3273332693.0
2021-11-08,,,,7845.18,2992848462.0
2021-11-09,,,,7885.91,2691105244.0
2021-11-10,,,,7877.79,3610912599.0
2021-11-11,,,,7993.96,4748265684.0
2021-11-12,,,,7939.32,3505322884.0
2021-11-15,,,,7952.16,2948177851.0
2021-11-16,,,,7908.45,2856524790.0
2021-11-17,,,,7974.46,2504959248.0
2021-11-18,,,,7968.59,2709127336.0
2021-11-19,,,,8081.13,3574516815.0
2021-11-22,,,,8093.91,3427630117.0
2021-11-23,,,,8139.99,3428658308.0
2021-11-24,,,,8179.19,3296046976.0
2021-11-25,,,,8143.78,2767389186.0
2021-11-26,,,,8084.87,2780427523.0
2021-11-29,,,,8034.05,3261754681.0
2021-11-30,,,,8057.75,2942795510.0
2021-12-01,,,,8152.57,3298090238.0
2021-12-02,,,,8169.9,4110000791.0
2021-12-03,,,,8226.97,3798228727.0
2021-12-06,,,,8135.71,4499471582.0
2021-12-07,,,,8178.32,5271506456.0
2021-12-08,,,,8185.69,4101919021.0
2021-12-09,,,,8196.13,4971816318.0
2021-12-10,,,,8176.67,5075380318.0
2021-12-13,,,,8174.31,5145332892.0
2021-12-14,,,,8090.45,4138153766.0
2021-12-15,,,,8126.88,3624124541.0
2021-12-16,,,,8247.44,4615858199.0
2021-12-17,,,,8194.52,3940645967.0
2021-12-20,,,,8121.68,3799345666.0
2021-12-21,,,,8285.17,4554365249.0
2021-12-22,,,,8253.81,3584613473.0
2021-12-23,,,,8285.86,3592799116.0
2021-12-24,,,,8236.58,3329989853.0
2021-12-27,,,,8285.31,3353387364.0
2021-12-28,,,,8243.85,3482399760.0
2021-12-29,,,,8218.95,2808152486.0
2021-12-30,,,,8240.23,2894905901.0
2021-12-31,,,,8322.58,3011516244.0
2022-01-04,,,,8422.99,4369261538.0
2022-01-05,,,,8399.43,5361003261.0
2022-01-06,,,,8437.14,4410424999.0
2022-01-07,,,,8460.57,5871778944.0
2022-01-10,,,,8542.91,4884355248.0
2022-01-11,,,,8581.37,5090362694.0
2022-01-12,,,,8542.73,4284687765.0
2022-01-13,,,,8516.82,4605323047.0
2022-01-14,,,,8364.23,4766445327.0
2022-01-17,,,,8388.49,3202551101.0
2022-01-18,,,,8471.58,4723084358.0
2022-01-19,,,,8527.75,4879085276.0
2022-01-20,,,,8495.48,5694331261.0
2022-01-21,,,,8429.33,4310438931.0
2022-01-24,,,,8390.46,3902713540.0
2022-01-25,,,,8100.26,4001510774.0
2022-01-26,,,,8151.26,3182725806.0
2022-01-27,,,,8041.41,3551133911.0
2022-01-28,,,,8002.83,4144515885.0
2022-02-07,,,,8211.88,5014066198.0
2022-02-08,,,,8393.88,5898584826.0
2022-02-09,,,,8432.84,5016646357.0
2022-02-10,,,,8524.33,4505065433.0
2022-02-11,,,,8506.93,5537099361.0
2022-02-14,,,,8375.3,4787101764.0
2022-02-15,,,,8340.46,3756594878.0
2022-02-16,,,,8415.67,3123182986.0
2022-02-17,,,,8378.02,3165335444.0
2022-02-18,,,,8538.65,4078858507.0
2022-02-21,,,,8593.57,3618159769.0
2022-02-22,,,,8521.1,3568225672.0
2022-02-23,,,,8497.57,3746644819.0
2022-02-24,,,,8333.11,5105592370.0
2022-02-25,,,,8331.03,4580723768.0
2022-02-28,,,,8337.35,3710908633.0
2022-03-01,,,,8408.32,3518958476.0
2022-03-02,,,,8464.35,3444157803.0
2022-03-03,,,,8554.38,4932986927.0
2022-03-04,,,,8513.19,4224172128.0
2022-03-07,,,,8421.01,4864760372.0
2022-03-08,,,,8131.18,4941214367.0
2022-03-09,,,,8026.91,5987246071.0
2022-03-10,,,,8126.82,3819325481.0
2022-03-11,,,,8179.46,4295351458.0
2022-03-14,,,,8002.15,3985334305.0
2022-03-15,,,,7507.82,6666730641.0
2022-03-16,,,,7686.22,5737258398.0
2022-03-17,,,,7822.06,5232454048.0
2022-03-18,,,,8028.0,5157902495.0
2022-03-21,,,,8061.48,4036292046.0
2022-03-22,,,,8198.02,4947759024.0
2022-03-23,,,,8220.1,4992211283.0
2022-03-24,,,,8192.44,3796507723.0
2022-03-25,,,,8185.82,3999291765.0
2022-03-28,,,,8286.26,4946508771.0
2022-03-29,,,,8271.16,4104641122.0
2022-03-30,,,,8377.67,5360256330.0
2022-03-31,,,,8471.75,6277898801.0
2022-04-01,,,,8558.25,5989209103.0
2022-04-06,,,,8702.57,7752283620.0
2022-04-07,,,,8534.44,6150945092.0
2022-04-08,,,,8625.51,5858987807.0
2022-04-11,,,,8434.57,5845665986.0
2022-04-12,,,,8410.3,5457825572.0
2022-04-13,,,,8393.77,4920553111.0
2022-04-14,,,,8593.96,4759214398.0
2022-04-15,,,,8543.02,5748767091.0
2022-04-18,,,,8429.06,5182060031.0
2022-04-19,,,,8528.05,4536506236.0
2022-04-20,,,,8280.68,4918607240.0
2022-04-21,,,,8088.85,4946405388.0
2022-04-22,,,,8193.58,4821487084.0
2022-04-25,,,,7763.42,6127203411.0
2022-04-26,,,,7615.71,5321373871.0
2022-04-27,,,,7701.8,5910193921.0
2022-04-28,,,,7801.78,5654378838.0
2022-04-29,,,,8025.96,6644641353.0
2022-05-05,,,,8078.37,6028356685.0
2022-05-06,,,,7870.22,4274028815.0
2022-05-09,,,,7892.21,3480920303.0
2022-05-10,,,,7895.17,4860085663.0
2022-05-11,,,,7888.23,5051141972.0
2022-05-12,,,,7869.43,3658303959.0
2022-05-13,,,,8070.36,4363899092.0
2022-05-16,,,,8153.45,4710910691.0
2022-05-17,,,,8098.52,4351549733.0
2022-05-18,,,,8042.88,3688567474.0
2022-05-19,,,,8076.77,4053465805.0
2022-05-20,,,,8162.22,4883610662.0
2022-05-23,,,,8185.29,4325420583.0
2022-05-24,,,,7973.58,4626353112.0
2022-05-25,,,,8105.31,3553038255.0
2022-05-26,,,,8203.99,4017015064.0
2022-05-27,,,,8197.24,3697750507.0
2022-05-30,,,,8198.82,3948731994.0
2022-05-31,,,,8203.37,4149532911.0
2022-06-01,,,,8244.87,3623670733.0
2022-06-02,,,,8184.65,3622586173.0
2022-06-06,,,,8215.24,5197880084.0
2022-06-07,,,,8247.55,4367010678.0
2022-06-08,,,,8313.76,4560068000.0
2022-06-09,,,,8274.16,4898562757.0
2022-06-10,,,,8348.09,5424001148.0
2022-06-13,,,,8246.49,4823260480.0
