date,open,high,low,close,volume
2016-06-06,4517.88,4536.55,4510.33,4523.63,0
2016-06-07,4527.86,4532.3,4511.42,4513.09,0
2016-06-08,4521.1,4529.09,4505.39,4520.63,0
2016-06-09,4501.14,4518.5,4494.76,4512.69,0
2016-06-10,4473.08,4480.48,4447.33,4461.05,0
2016-06-13,4436.12,4461.26,4419.73,4422.76,0
2016-06-14,4413.71,4439.73,4392.43,4424.91,0
2016-06-15,4433.68,4439.61,4404.58,4409.51,0
2016-06-16,4387.9,4428.27,4362.16,4424.23,0
2016-06-17,4409.75,4409.75,4363.63,4374.38,0
2016-06-20,4424.11,4444.06,4397.36,4400.16,0
2016-06-21,4408.03,4422.67,4398.64,4413.4,0
2016-06-22,4415.46,4442.02,4400.88,4404.73,0
2016-06-23,4437.61,4467.48,4420.16,4467.48,0
2016-06-24,4294.8,4373.15,4274.54,4285.7,0
2016-06-27,4247.71,4249.0,4179.74,4201.05,0
2016-06-28,4245.32,4291.43,4245.29,4290.47,0
2016-06-29,4323.33,4373.96,4322.36,4364.74,0
2016-06-30,4378.75,4417.96,4359.57,4417.7,0
2016-07-01,4411.77,4453.86,4411.76,4437.44,0
2016-07-05,4414.35,4418.04,4386.56,4410.75,0
2016-07-06,4388.43,4447.23,4375.72,4444.7,0
2016-07-07,4451.15,4468.31,4438.8,4459.58,0
2016-07-08,4484.92,4529.72,4476.5,4528.36,0
2016-07-11,4544.33,4569.97,4544.33,4554.71,0
2016-07-12,4579.85,4588.24,4570.56,4577.61,0
2016-07-13,4589.13,4589.95,4565.7,4565.77,0
2016-07-14,4597.19,4604.76,4585.7,4596.49,0
2016-07-15,4602.0,4607.17,4579.83,4589.83,0
2016-07-18,4595.06,4627.57,4591.83,4619.68,0
2016-07-19,4601.68,4617.47,4595.38,4603.28,0
2016-07-20,4630.85,4665.67,4623.93,4657.2,0
2016-07-21,4662.95,4669.53,4634.07,4647.02,0
2016-07-22,4650.98,4670.54,4635.22,4666.07,0
2016-07-25,4662.9,4667.09,4650.5,4665.93,0
2016-07-26,4664.1,4687.9,4648.92,4672.11,0
2016-07-27,4711.11,4716.07,4685.11,4702.88,0
2016-07-28,4710.23,4725.78,4696.08,4721.41,0
2016-07-29,4734.7,4743.25,4715.77,4730.23,0
2016-08-01,4734.44,4767.24,4728.73,4756.04,0
2016-08-02,4748.42,4752.29,4689.55,4719.21,0
2016-08-03,4716.58,4734.33,4712.1,4734.33,0
2016-08-04,4731.54,4749.09,4719.01,4743.81,0
2016-08-05,4769.17,4799.86,4763.58,4791.21,0
2016-08-08,4791.1,4794.14,4770.22,4784.74,0
2016-08-09,4787.92,4811.01,4786.38,4795.75,0
